,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
173,174,173,회색 인간 ,지은이: 김동식,요다,2017,9791196222628,04810,,813.7,문학 > 한국문학 > 소설,502,https://bookthumb-phinf.pstatic.net/cover/130/093/13009319.jpg?type=m1&udate=20180307,https://data4library.kr/bookV?seq=3680366
174,175,175,12가지 인생의 법칙 :혼돈의 해독제 ,조던 B. 피터슨 지음 ;강주헌 옮김,메이븐,2018,9791196067694,03180,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",501,https://image.aladin.co.kr/product/17215/26/cover/k442534993_1.jpg,https://data4library.kr/bookV?seq=5230775
175,176,176,어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘 ,유선경 지음,앤의서재,2020,9791190710053,03800,,802.5,"문학 > 문학 > 문장작법, 수사학",500,https://image.aladin.co.kr/product/24779/29/cover/k102631725_1.jpg,https://data4library.kr/bookV?seq=5731697
176,177,177,(나를 숨 쉬게 하는) 보통의 언어들 ,김이나 지음,위즈덤하우스,2020,9791190786355,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,499,https://image.aladin.co.kr/product/24088/61/cover/k182639239_1.jpg,https://data4library.kr/bookV?seq=5671695
177,178,178,사랑의 기술 ,에리히 프롬 지음 ;황문수 옮김,문예출판사,2019,9788931011623,03180,,181.71,철학 > 심리학 > 각론,498,https://image.aladin.co.kr/product/20329/93/cover/8931011628_1.jpg,https://data4library.kr/bookV?seq=5463382
178,179,178,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑,민음사,2015,9788937473098,04810,,813.7,문학 > 한국문학 > 소설,498,http://image.aladin.co.kr/product/7164/35/cover/8937473097_1.jpg,https://data4library.kr/bookV?seq=3113956
179,180,178,수상한 중고상점 :미치오 슈스케 장편소설 ,지은이: 미치오 슈스케 ;옮긴이: 김은모,다산북스,2022,9791130689241,03830,,833.6,문학 > 일본문학 > 소설,498,https://image.aladin.co.kr/product/29246/14/cover/k202837297_1.jpg,https://data4library.kr/bookV?seq=6442406
180,181,181,(오은영의) 화해 :상처받은 내면의 나와 마주하는 용기 ,오은영 지음,대성,2019,9788997396870,03180,,189.2,철학 > 심리학 > 응용심리학 일반,496,https://image.aladin.co.kr/product/17678/50/cover/8997396870_1.jpg,https://data4library.kr/bookV?seq=5343697
181,182,182,일인칭 단수 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2020,9788954675987,03830,,833.6,문학 > 일본문학 > 소설,494,https://image.aladin.co.kr/product/25638/33/cover/8954675980_2.jpg,https://data4library.kr/bookV?seq=5814186
182,183,182,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,9788982814471,03860,,879,문학 > 스페인문학 > 포르투갈문학,494,http://image.aladin.co.kr/product/30/73/cover/8982814477_2.jpg,https://data4library.kr/bookV?seq=126479
183,184,184,다섯 번째 감각 :김보영 소설집 ,지은이: 김보영,아작,2022,9791166686603,03810,,813.7,문학 > 한국문학 > 소설,490,https://image.aladin.co.kr/product/28736/71/cover/k442836780_1.jpg,https://data4library.kr/bookV?seq=6393113
184,185,185,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936456788,43810,,813.7,문학 > 한국문학 > 소설,482,http://image.aladin.co.kr/product/10636/66/cover/8936456784_1.jpg,https://data4library.kr/bookV?seq=3428065
